Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
Green Tara Statue: Protection and Peace,GTA 1,,,Sold Out,https://nidhiratna.com/products/green-tara-statue-gold,2025-06-06
Radiant Shakyamuni Buddha Sculpture,BSA 2,,,Sold Out,https://nidhiratna.com/products/buddha-shakyamuni-gold,2025-06-06
Gold Gilded Guru Rinpoche Statue,GRA 3,$852.00,$1065.00,Available,https://nidhiratna.com/products/gold-gilded-guru-rinpoche-statue-1,2025-06-06
Bodhisattva Amitayus,ATA 4,$832.00,$1040.00,Available,https://nidhiratna.com/products/amitayus-buddha-sculpture,2025-06-06
Traditional Shakyamuni Buddha,5 BSA,,,Sold Out,https://nidhiratna.com/products/shakyamuni-buddha-siddhartha-gautam,2025-06-06
Shakyamuni Buddha Statue,6 BSA,$2180.00,$2725.00,Available,https://nidhiratna.com/products/shakyamuni-buddha-statue-3,2025-06-06
Divine Mother Tara: Protection & Swift Action,7 GTA,,,Sold Out,https://nidhiratna.com/products/divine-mother-tara,2025-06-06
White Tara Golden Statue: Compassion and Wisdom,WTA 8,$1256.00,$1570.00,Available,https://nidhiratna.com/products/white-tara-tibetan-deity-tara,2025-06-06
Dzambhala : The Wealth Deity,DZA 9,$1088.00,$1360.00,Available,https://nidhiratna.com/products/dzambhala-the-wealth-deity,2025-06-06
Guru Rinpoche Statue Lotus Born Master,GRA 10,$1732.00,$2165.00,Available,https://nidhiratna.com/products/guru-rinpoche-lotus-master-padmasambhav,2025-06-06
Namgyalma Mantra Statue : The Divine Protector of Longevity and Purification,NGA 11,$1336.00,$1670.00,Available,https://nidhiratna.com/products/protector-of-longevity-and-purification-namgyalma,2025-06-06
Kalachakra Deity Statue: Tibetan Buddhist  Sculpture,12 KCA,$1552.00,$1940.00,Available,https://nidhiratna.com/products/kalachakra-statue-mandala,2025-06-06
Namgyalma (Ushnisa Vijaya) Sculpture | A Divine Statue of Peace and Healing,NGA 13,,,Sold Out,https://nidhiratna.com/products/namgyalma-nga-ushnisavijaya-tibetan-deity,2025-06-06
Vajrasattva Statue: The Glorious Bodhisattva of Purification,VSA 14,,,Sold Out,https://nidhiratna.com/products/vajrasattva-bodhisattva-purifier,2025-06-06
Manjushri: Guardian of Knowledge and Clarity,MSA 15,,,Sold Out,https://nidhiratna.com/products/manjushri-manjushree-bodhisattva-statue,2025-06-06
White Tara: The Compassionate Mother of Longevity and Healing,WTA 16,,,Sold Out,https://nidhiratna.com/products/white-tara-buddha-female,2025-06-06
The Power of Dzambhala: Invoking Wealth and Prosperity,18 DZA,,,Sold Out,https://nidhiratna.com/products/dzambhala-wealth-deity-kuber-statue,2025-06-06
Kshitigarbha Statue | Guardian of Souls,KGA 19,,,Sold Out,https://nidhiratna.com/products/kshitigarbha-gaurdian-of-sould-bodhisattva,2025-06-06
The Golden Buddhist Statue : Amitabha Buddha,ABA 21,$1016.00,$1270.00,Available,https://nidhiratna.com/products/amitabha-buddha-compassion-buddha,2025-06-06
Unlocking the Power of Vajrapani: Protector and Guide in Buddhist Tradition,20 VPA,$1344.00,$1680.00,Available,https://nidhiratna.com/products/vajrapani-deityofpower-bodhisattva,2025-06-06
Vajradhara: The Primordial Buddha of Tantric Buddhism,VDA 22,$764.00,$955.00,Available,https://nidhiratna.com/products/vajradhara-bodhisattva-staute-sculpture,2025-06-06
Kshitigarbha | Buddhist Bodhisattva Statue,23 KGA,$760.00,$950.00,Available,https://nidhiratna.com/products/kshitigarbha-bodhisattva-statue-sculpture,2025-06-06
Green Tara: The Compassionate Savior in Tibetan Buddhism,GTA 24,,,Sold Out,https://nidhiratna.com/products/green-tara-mothertara-tara-statue,2025-06-06
